UniqueCount	AmbigCount
0	1553
0	409
0	4397
0	11046
0	437724
0	1635040
0	37221
0	67174
0	0
0	933
0	81142
0	648
0	282
0	8
0	1134
0	43142
0	15422
0	117
0	1422
0	8
0	115458
0	2071
0	181
0	23
0	5882
0	245
0	120
0	559
0	0
0	765
0	262
0	165
0	2255
0	13
0	1487
0	435
0	328
0	15454
0	15
0	1230
0	0
0	318434
0	4778
0	646
0	905
0	64
0	0
0	101
0	6493
0	465
0	12748
0	9
0	28899
0	116
0	214
0	3186
0	325
0	381
0	98
0	451
0	0
0	1626
0	567
0	2
0	85
0	10638
0	2344
0	1033
0	19
0	0
0	42
0	109
0	10
0	11906
0	1226
0	18
0	13
0	9
0	0
0	4
0	0
0	294
0	0
0	548
0	524
0	0
0	4
0	0
0	6544
0	480
0	349
0	1086
0	0
0	34
0	257
0	19
0	1
0	64
0	3
0	269
0	175
0	38
0	4900
0	1
0	41
0	150
0	0
0	8
0	169765
0	0
0	8045
0	0
0	647
0	2027
0	0
0	0
0	60
0	25
0	0
0	126
0	5
0	96093
0	1
0	4
0	0
0	0
0	0
0	12
0	3
0	788
0	123
0	130
0	12
0	53998
0	231
0	109
0	15
0	68
0	805
0	12
0	435
0	346
0	124
0	0
0	1189
0	82
0	1651
0	32
0	5
0	11
0	56
0	0
0	0
0	0
0	16
0	10278
0	0
0	15
0	6020
0	13
0	59
0	0
0	0
0	0
0	0
0	0
0	63
0	0
0	46
0	87
0	1788
0	0
0	233
0	872
0	179
0	8432
0	442
0	1149
