tx_name,gene_id
STALKER2_I,STALKER2_I
GYPSY8_I,GYPSY8_I
ROO_I,ROO_I
BATUMI_I,BATUMI_I
BEL_I,BEL_I
Bica_I,Bica_I
BLASTOPIA_I,BLASTOPIA_I
TRANSPAC_I,TRANSPAC_I
OSVALDO_I,OSVALDO_I
Chimpo_I,Chimpo_I
COPIA_DM_I,COPIA_DM_I
ACCORD_I,ACCORD_I
GYPSY3_I,GYPSY3_I
GYPSY5_I,GYPSY5_I
INVADER3_I,INVADER3_I
MAX_I,MAX_I
DM412_I,DM412_I
GTWIN_I,GTWIN_I
MDG1_I,MDG1_I
GYPSY11_I,GYPSY11_I
DIVER_I,DIVER_I
TIRANT_I,TIRANT_I
INVADER6_I,INVADER6_I
GYPSY9_I,GYPSY9_I
Gypsy2-I_DM,Gypsy2-I_DM
GYPSY6_I,GYPSY6_I
DIVER2_I,DIVER2_I
NOMAD_I,NOMAD_I
TV1I,TV1I
Copia1-I_DM,Copia1-I_DM
DM297_I,DM297_I
GYPSY7_I,GYPSY7_I
QUASIMODO2-I_DM,QUASIMODO2-I_DM
ZAM_I,ZAM_I
DM1731_I,DM1731_I
TABOR_I,TABOR_I
ROOA_I,ROOA_I
Gypsy1-I_DM,Gypsy1-I_DM
INVADER5_I,INVADER5_I
MICROPIA_I,MICROPIA_I
ULYSSES_I,ULYSSES_I
BLOOD_I,BLOOD_I
GYPSY12_I,GYPSY12_I
STALKER4_I,STALKER4_I
QUASIMODO_I,QUASIMODO_I
ACCORD2_I,ACCORD2_I
TRAM_I,TRAM_I
Chouto_I,Chouto_I
INVADER2_I,INVADER2_I
GYPSY4_I,GYPSY4_I
GYPSY_I,GYPSY_I
FROGGER_I,FROGGER_I
BURDOCK_I,BURDOCK_I
GYPSY10_I,GYPSY10_I
INVADER1_I,INVADER1_I
INVADER4_I,INVADER4_I
TOM_I,TOM_I
IDEFIX_I,IDEFIX_I
GYPSY2_I,GYPSY2_I
COPIA2I_DM,COPIA2I_DM
hAT-1N_DP,hAT-1N_DP
DMLTR5,DMLTR5
R2_DM,R2_DM
TLD1,TLD1
TC1_DM,TC1_DM
TART_B1,TART_B1
DOC6_DM,DOC6_DM
BS2,BS2
PEN2,PEN2
Transib-N1_DM,Transib-N1_DM
M4DM,M4DM
TRANSIB3,TRANSIB3
PEN4,PEN4
DEC1_DS,DEC1_DS
NTS_DM,NTS_DM
S2_DM,S2_DM
MARINER2_DM,MARINER2_DM
Transib4,Transib4
P_DB,P_DB
RSP,RSP
ALA_DM,ALA_DM
I_DM,I_DM
PARIS,PARIS
DMCR1A,DMCR1A
PROTOP,PROTOP
UHU,UHU
G7_DM,G7_DM
TLD2,TLD2
TAHRE,TAHRE
DM412B_LTR,DM412B_LTR
G5_DM,G5_DM
DMRT1B,DMRT1B
DGYSAT1,DGYSAT1
GYPSY6A_LTR,GYPSY6A_LTR
BAGGINS1,BAGGINS1
Transib5,Transib5
GYPSY_DS,GYPSY_DS
POGON1,POGON1
STALKER3_LTR,STALKER3_LTR
BS,BS
DOC2_DM,DOC2_DM
LOOPER1_DM,LOOPER1_DM
DOC,DOC
PLACW_DM,PLACW_DM
BS3_DM,BS3_DM
G6_DM,G6_DM
BS4_DM,BS4_DM
FW2_DM,FW2_DM
MDG3_DM,MDG3_DM
DMRP1,DMRP1
TART-A,TART-A
ARS406_DM,ARS406_DM
POGO,POGO
DMHMR2,DMHMR2
FTZ_DM,FTZ_DM
DGRSAT1,DGRSAT1
DOC5_DM,DOC5_DM
DMRT1C,DMRT1C
MARINER_DMA,MARINER_DMA
HOBO,HOBO
DMHMR1,DMHMR1
HMSBEAGLE_I,HMSBEAGLE_I
XDMR,XDMR
DMSAT6,DMSAT6
ISFUN1,ISFUN1
HELITRON1_DM,HELITRON1_DM
MINIME_DN,MINIME_DN
HETRP_DM,HETRP_DM
SAR2_DM,SAR2_DM
R1_DM,R1_DM
G4_DM,G4_DM
DNAREP1_DM,DNAREP1_DM
DOC4_DM,DOC4_DM
HETA,HETA
TC1-2_DM,TC1-2_DM
IVK_DM,IVK_DM
R1-2_DM,R1-2_DM
TRANSIB2,TRANSIB2
BARI_DM,BARI_DM
FW3_DM,FW3_DM
DMRT1A,DMRT1A
PROTOP_B,PROTOP_B
CIRCE,CIRCE
TANSAT_DB,TANSAT_DB
PEN1,PEN1
G5A_DM,G5A_DM
DOC3_DM,DOC3_DM
JOCKEY2,JOCKEY2
BARI1,BARI1
NINJA_LTR,NINJA_LTR
FB4_DM,FB4_DM
P_DG,P_DG
FUSHI_DM,FUSHI_DM
MAR_DW,MAR_DW
Transib1,Transib1
Jockey,Jockey
DTSAT1,DTSAT1
HELENA_RT,HELENA_RT
LTRMDG3_DM,LTRMDG3_DM
G3_DM,G3_DM
G_DM,G_DM
DMRPR,DMRPR
VEGE_DW,VEGE_DW
SAR_DM,SAR_DM
TLD3,TLD3
AY1_DH,AY1_DH
TART_DV,TART_DV
DMR_DV,DMR_DV
GYPSY12A_LTR,GYPSY12A_LTR
DMTOM1_LTR,DMTOM1_LTR
FW,FW
MINOS,MINOS
G2_DM,G2_DM
DM176,DM176
S_DM,S_DM
5S_DM,5S_DM
PROTOP_A,PROTOP_A
ROVER_DM,ROVER_DM
